"subject_id" "action" "time_body_acceleration_mean_x" "time_body_acceleration_mean_y" "time_body_acceleration_mean_z" "time_gravityacceleration_mean_x" "time_gravityacceleration_mean_y" "time_gravityacceleration_mean_z" "time_body_acceleration_jerk_mean_x" "time_body_acceleration_jerk_mean_y" "time_body_acceleration_jerk_mean_z" "time_body_gyro_mean_x" "time_body_gyro_mean_y" "time_body_gyro_mean_z" "time_body_gyro_jerk_mean_x" "time_body_gyro_jerk_mean_y" "time_body_gyro_jerk_mean_z" "time_body_acceleration_magnitude_mean" "time_gravityacceleration_magnitude_mean" "time_body_acceleration_jerk_magnitude_mean" "time_body_gyro_magnitude_mean" "time_body_gyro_jerk_magnitude_mean" "fft_body_acceleration_mean_x" "fft_body_acceleration_mean_y" "fft_body_acceleration_mean_z" "fft_body_acceleration_jerk_mean_x" "fft_body_acceleration_jerk_mean_y" "fft_body_acceleration_jerk_mean_z" "fft_body_gyro_mean_x" "fft_body_gyro_mean_y" "fft_body_gyro_mean_z" "fft_body_acceleration_magnitude_mean" "fft_body_body_acceleration_jerk_magnitude_mean" "fft_body_body_gyro_magnitude_mean" "fft_body_body_gyro_jerk_magnitude_mean" "time_body_acceleration_sd_x" "time_body_acceleration_sd_y" "time_body_acceleration_sd_z" "time_gravityacceleration_sd_x" "time_gravityacceleration_sd_y" "time_gravityacceleration_sd_z" "time_body_acceleration_jerk_sd_x" "time_body_acceleration_jerk_sd_y" "time_body_acceleration_jerk_sd_z" "time_body_gyro_sd_x" "time_body_gyro_sd_y" "time_body_gyro_sd_z" "time_body_gyro_jerk_sd_x" "time_body_gyro_jerk_sd_y" "time_body_gyro_jerk_sd_z" "time_body_acceleration_magnitude_sd" "time_gravityacceleration_magnitude_sd" "time_body_acceleration_jerk_magnitude_sd" "time_body_gyro_magnitude_sd" "time_body_gyro_jerk_magnitude_sd" "fft_body_acceleration_sd_x" "fft_body_acceleration_sd_y" "fft_body_acceleration_sd_z" "fft_body_acceleration_jerk_sd_x" "fft_body_acceleration_jerk_sd_y" "fft_body_acceleration_jerk_sd_z" "fft_body_gyro_sd_x" "fft_body_gyro_sd_y" "fft_body_gyro_sd_z" "fft_body_acceleration_magnitude_sd" "fft_body_body_acceleration_jerk_magnitude_sd" "fft_body_body_gyro_magnitude_sd" "fft_body_body_gyro_jerk_magnitude_sd"
1 "lay" 0.27806494 -0.0176645035 -0.1081825 -0.208675215 0.77280839 0.54420675 0.0753793745 0.0111022745 -0.00153414725 -0.02769875 -0.0745562315 0.086943931 -0.098871363 -0.0400846985 -0.057130306 -0.98189317 -0.98189317 -0.99125267 -0.969165675 -0.99585987 -0.9894907 -0.98782049 -0.98865426 -0.99098138 -0.98922649 -0.990338345 -0.977762395 -0.994062645 -0.97381654 -0.9881606 -0.99263711 -0.97486601 -0.996359345 -0.988714695 -0.98603146 -0.98643228 -0.98853962 -0.988951675 -0.986661095 -0.99133982 -0.98927464 -0.991957715 -0.97684234 -0.992602475 -0.97451677 -0.993746415 -0.99626774 -0.994051515 -0.986077485 -0.986077485 -0.993293945 -0.965152985 -0.99665375 -0.989380115 -0.984862015 -0.98845735 -0.992096085 -0.989831285 -0.991673325 -0.97659292 -0.99143866 -0.979968245 -0.98584627 -0.99228822 -0.966293765 -0.99670628
1 "sit" 0.27727452 -0.015873588 -0.10949351 0.87410872 0.1456773 0.32520586 0.075451243 0.0099012407 -0.00060033363 -0.028211664 -0.074553856 0.086518022 -0.097585544 -0.03994669 -0.055327731 -0.99223301 -0.99223301 -0.99352627 -0.98533998 -0.99721137 -0.99492259 -0.98601658 -0.99126636 -0.99398429 -0.99064115 -0.9917045 -0.99696281 -0.99440343 -0.98624004 -0.99363329 -0.99422234 -0.99216261 -0.99730213 -0.99584854 -0.98192492 -0.99072156 -0.9956679 -0.98811386 -0.99381054 -0.99396693 -0.99050354 -0.99252449 -0.99735086 -0.99424221 -0.98448174 -0.99824451 -0.99603909 -0.9953921 -0.99395981 -0.99395981 -0.99477566 -0.98688986 -0.9970187 -0.99613117 -0.97902885 -0.99145955 -0.99462966 -0.99091043 -0.99270028 -0.99735949 -0.99445597 -0.98440875 -0.99365615 -0.99345086 -0.98593044 -0.99668215
1 "stand" 0.27796276 -0.016979698 -0.11033551 0.94489486 -0.29262334 -0.0049576372 0.075779115 0.0097634661 -0.00053427358 -0.027372739 -0.074796836 0.088998758 -0.097980589 -0.040967713 -0.054341093 -0.99161808 -0.99161808 -0.99325987 -0.9882832 -0.99680193 -0.99665675 -0.98491607 -0.99025398 -0.99517924 -0.98716991 -0.99062442 -0.99000732 -0.9929838 -0.98960578 -0.99343349 -0.99429146 -0.99162928 -0.9971196 -0.99732847 -0.98394066 -0.99040744 -0.99812719 -0.99113831 -0.99126992 -0.99527281 -0.98755275 -0.99249984 -0.99088198 -0.99289135 -0.99220528 -0.9946724 -0.99694746 -0.99451099 -0.99167203 -0.99167203 -0.99456104 -0.98949314 -0.99690792 -0.9976438 -0.98324437 -0.99022911 -0.99584517 -0.98902632 -0.99264733 -0.99137591 -0.99331871 -0.99340435 -0.99230619 -0.99419966 -0.98915429 -0.99649329
1 "walk" 0.28111697 -0.018079718 -0.11667518 0.93547823 -0.29215241 -0.07477011 0.10305991 0.03298224 -0.018248447 -0.031907167 -0.088300488 0.095624123 -0.095098173 -0.068501754 -0.059599967 -0.12980293 -0.12980293 -0.14261311 -0.16295412 -0.2998284 -0.20305522 0.096949071 -0.33885732 -0.18643004 -0.033930655 -0.47693821 -0.34464097 -0.11043286 -0.26451336 -0.1417754 -0.070366165 -0.21629882 -0.33749876 -0.28354284 0.12280051 -0.26290057 -0.98081539 -0.97813557 -0.9604447 -0.12475952 0.064997322 -0.50771295 -0.48169764 -0.061530134 -0.34813109 -0.20600776 -0.31751946 -0.40483479 -0.22709309 -0.22709309 -0.089638008 -0.19787858 -0.34550214 -0.33322517 0.057523212 -0.29008541 -0.14292773 0.088189609 -0.53872232 -0.52210762 -0.038552002 -0.43832158 -0.39838608 -0.10569655 -0.32016764 -0.39731236
1 "walk_donwstairs" 0.28134949 -0.0075220252 -0.1095915 0.93203802 -0.26803107 -0.051933496 0.05093887 0.030894841 0.013159109 -0.073423786 -0.098699586 0.099219275 -0.075669852 -0.018155334 -0.019976938 0.027670965 0.027670965 -0.10010991 -0.066701101 -0.30164164 0.033945336 -0.032699168 -0.23513046 -0.043269084 -0.14859186 -0.28058501 -0.32134794 -0.081013533 -0.055381283 0.083741909 0.0081418252 -0.18616832 -0.32529153 0.026284824 -0.03574553 -0.23035782 -0.95714561 -0.94146904 -0.89979118 -0.018679711 -0.12235991 -0.33837871 -0.39244675 -0.13965682 -0.12087797 -0.48668696 -0.25649015 -0.28690586 0.012738503 0.012738503 -0.029108804 -0.21352886 -0.34730564 0.0084620015 -0.11410808 -0.3058672 -0.073829416 -0.13216735 -0.39075595 -0.42680749 -0.17622615 -0.22826933 -0.19421705 -0.10038422 -0.40778652 -0.39254963
1 "walk_upstairs" 0.26001212 -0.021954576 -0.10683037 0.8950979 -0.36604115 -0.074466305 0.096766961 0.013785748 -0.021435044 0.093609178 -0.18502227 0.061595964 -0.12121225 -0.028408846 -0.024690708 -0.13258213 -0.13258213 -0.46366681 -0.13508638 -0.58606799 -0.40382884 -0.1763477 -0.43699429 -0.47733812 -0.42329991 -0.67744308 -0.50841127 -0.3062881 -0.4777879 -0.35587484 -0.44502569 -0.3398615 -0.63769666 -0.35712019 0.0012200422 -0.017909026 -0.96667661 -0.96939257 -0.92143271 -0.44118742 -0.37666166 -0.71030832 -0.5893452 0.0065099818 -0.54632096 -0.61138333 -0.59734456 -0.60070987 -0.32439212 -0.32439212 -0.47897137 -0.20028901 -0.64489902 -0.33300892 0.031672 0.087953471 -0.46030501 -0.3708177 -0.72846803 -0.62072762 0.14504201 -0.6078154 -0.4221008 -0.5320112 -0.24848151 -0.69161978
2 "lay" 0.28013638 -0.017627091 -0.107825015 -0.49866804 0.76824702 0.63786782 0.077415793 0.0126347415 -0.00105438295 -0.027854636 -0.0748041455 0.085124498 -0.0986622885 -0.0377933605 -0.056053155 -0.98914397 -0.98914397 -0.991393405 -0.985160485 -0.99468235 -0.987024475 -0.98768581 -0.98903304 -0.9913902 -0.98798157 -0.988970535 -0.994178065 -0.990546775 -0.984235215 -0.98818473 -0.992422015 -0.990627655 -0.99524514 -0.988919415 -0.989997665 -0.99031047 -0.9821439 -0.99550459 -0.992594315 -0.991110675 -0.988286105 -0.9904207 -0.99537465 -0.9891457 -0.9829511 -0.995979515 -0.99368818 -0.99235632 -0.98848705 -0.98848705 -0.99276029 -0.98871388 -0.995345385 -0.989422445 -0.990269235 -0.99115876 -0.99221609 -0.98895713 -0.99025146 -0.99567701 -0.98859912 -0.98389416 -0.990429465 -0.99271438 -0.98858683 -0.99556847
2 "sit" 0.27617497 -0.0154911725 -0.105193445 0.954288975 -0.12583398 0.17322211 0.076142767 0.01011690365 -0.000657420005 -0.0279965415 -0.074818468 0.0876008915 -0.097446921 -0.042771931 -0.0527143085 -0.98439197 -0.98439197 -0.98962909 -0.982594745 -0.992412245 -0.993366015 -0.97547212 -0.98501446 -0.992605755 -0.98157504 -0.98860896 -0.98987658 -0.986543245 -0.97331094 -0.98370441 -0.990047635 -0.983181875 -0.9930018 -0.9950792 -0.97567974 -0.979514725 -0.99682267 -0.990321075 -0.98620911 -0.99222169 -0.98211649 -0.990656025 -0.992962005 -0.983881985 -0.975642185 -0.992967105 -0.993027705 -0.98821203 -0.98396564 -0.98396564 -0.9915193 -0.97942968 -0.99283734 -0.99557555 -0.975042745 -0.97749633 -0.99273613 -0.984056105 -0.990603585 -0.994320515 -0.98180493 -0.978232865 -0.98472259 -0.991184975 -0.98008904 -0.99298308
2 "stand" 0.277432005 -0.0185121125 -0.109954355 0.890332185 -0.38030765 0.136161695 0.0753320855 0.0108735155 0.000645912685 -0.027296844 -0.0779154325 0.0856831415 -0.0989650035 -0.0401724315 -0.052304682 -0.981458565 -0.981458565 -0.988474925 -0.981738905 -0.991605285 -0.99305078 -0.974243225 -0.98113554 -0.991286735 -0.981120965 -0.98637272 -0.98344391 -0.98601426 -0.9788819 -0.98288487 -0.98899588 -0.98251499 -0.99157998 -0.99439743 -0.97195858 -0.977238295 -0.99562034 -0.98357394 -0.981221825 -0.99147914 -0.98140515 -0.988275945 -0.98526545 -0.98461863 -0.97847851 -0.989360845 -0.99251088 -0.989217335 -0.98034593 -0.98034593 -0.990262055 -0.978848235 -0.99165606 -0.995139725 -0.971725415 -0.974796185 -0.99225795 -0.983156245 -0.98945226 -0.985727675 -0.98473075 -0.98133336 -0.983220575 -0.989915995 -0.979921045 -0.992076165
2 "walk" 0.26780915 -0.016486852 -0.11018469 0.91330906 -0.34693153 0.034632273 0.059344519 0.0097203334 -0.0050209134 -0.029189189 -0.07647036 0.087446841 -0.0957022 -0.061178372 -0.066830094 -0.29734115 -0.29734115 -0.29130408 -0.46148716 -0.55917481 -0.34399497 -0.045398525 -0.44731974 -0.31427742 -0.12871068 -0.55297127 -0.44205759 -0.56922657 -0.40089762 -0.34426555 -0.18219044 -0.55686219 -0.62223748 -0.42055075 -0.086491221 -0.42346766 -0.97256191 -0.97871306 -0.97486463 -0.28269406 -0.053523732 -0.58397619 -0.56562245 -0.54368081 -0.47679889 -0.41089026 -0.64991204 -0.45322615 -0.43464859 -0.43464859 -0.19050464 -0.55519019 -0.57280162 -0.45953921 -0.18347264 -0.45550086 -0.32155429 -0.039715066 -0.63312888 -0.60925054 -0.53195591 -0.55856228 -0.58075003 -0.18479748 -0.65063217 -0.54750107
